No,G,N,E,O,A,C,T,RF,WHR,RHL,REF,REL,REH,RNO,RNL,RHO,RML,RTC,RJ1,RJ2,RJ3,RJ4,RUI,RBL,RBH,RWH,RWM,RMW,RMH,RNM,RNF,RMF
2014124119,1,2,87,36,24,75,2,1.1511,2.3123,2.5616,0.4046,0.1582,0.0711,0.5731,0.3383,0.1684,0.45899999999999996,0.3242,0.8358,0.6883,0.4861,0.2593,0.2124,0.11699999999999999,0.293,2.8810000000000002,2.336,0.281,0.1163,0.2714,0.6081,0.3242
2014124124,1,21,3,17,49,41,4,1.0,1.9398,2.9226,0.42200000000000004,0.166,0.0568,0.5248,0.3491,0.1832,0.4566,0.3127,0.8257,0.6776,0.469,0.2433,0.1524,0.1375,0.3412,2.4807,2.2133,0.3304,0.1219,0.2618,0.5915,0.3127
2014125115,0,4,46,43,31,62,5,1.0484,1.9811,3.3761,0.4766,0.1735,0.0539,0.6314,0.3725,0.2243,0.4429,0.2843,0.7852,0.6361,0.449,0.2432,0.1978,0.1569,0.3412,2.28,2.6122,0.3739,0.1278,0.2352,0.5295,0.2843
2014125325,1,76,42,41,33,27,1,1.0084,2.0854,2.6191,0.4387,0.179,0.0689,0.5196,0.3448,0.1777,0.4515,0.34700000000000003,0.8205,0.6835,0.4922,0.2737,0.1671,0.1373,0.3458,2.5398,3.0046,0.3146,0.0827,0.2347,0.5803,0.34700000000000003
2014131110,1,76,-19,-3,38,-19,1,1.1503,2.121,3.3959,0.4128,0.1639,0.0555,0.5248,0.3653,0.1667,0.4555,0.3207,0.8495,0.6986,0.5002,0.262,0.1565,0.1255,0.3228,2.9579,2.3859,0.3096,0.1187,0.2831,0.5937,0.3207
2014131118,1,10,59,35,52,61,5,1.1178,2.1664,4.0797,0.4321,0.1659,0.0455,0.5,0.3863,0.1728,0.4729,0.2798,0.845,0.7106,0.5184,0.2688,0.2142,0.1231,0.3171,2.8803,2.3074,0.3269,0.1305,0.2157,0.4955,0.2798
2014131418,0,13,38,23,21,61,5,1.0711,2.1533,3.9588,0.4229,0.1667,0.0451,0.6137,0.3307,0.1895,0.44799999999999995,0.3348,0.8176,0.6842,0.4912,0.2632,0.1575,0.1349,0.3205,2.5445,1.7619999999999998,0.3194,0.1579,0.275,0.6284,0.3348
2014132103,0,30,22,-2,48,52,5,1.0106,1.8462,3.2706,0.4642,0.1684,0.052000000000000005,0.584,0.3711,0.2144,0.44,0.2888,0.7751,0.6426,0.4693,0.2448,0.1707,0.1605,0.3507,2.208,2.2321,0.3571,0.134,0.2785,0.5776,0.2888
2014132106,1,29,22,20,30,12,4,1.0498,2.0384,2.93,0.4628,0.1702,0.061,0.6136,0.3563,0.2083,0.4441,0.2969,0.7921,0.6411,0.4525,0.2451,0.2104,0.1302,0.3208,2.5869999999999997,1.8792,0.3399,0.1583,0.2581,0.5743,0.2969
2014132207,0,29,27,27,67,38,4,1.0647,2.025,3.2739,0.4513,0.1597,0.0519,0.5357,0.3634,0.1829,0.4634,0.2988,0.8413,0.6949,0.4999,0.2682,0.1522,0.1543,0.3428,2.3657,2.0929,0.3416,0.1428,0.2599,0.5717,0.2988
2014136203,1,53,-4,-8,32,62,5,1.0861,1.9688,2.7361,0.4602,0.1763,0.07,0.5455,0.3791,0.1904,0.4369,0.259,0.73,0.5870000000000001,0.3966,0.2062,0.1896,0.1212,0.3415,3.0592,1.9884,0.3019,0.1389,0.2412,0.5,0.259
2014136302,1,48,56,53,47,62,5,0.9646,1.8635,2.8301,0.4705,0.1884,0.0642,0.5203,0.3547,0.1913,0.45299999999999996,0.3265,0.8311,0.6913,0.5,0.272,0.1696,0.0989,0.34299999999999997,3.345,1.8639,0.3679,0.1562,0.2767,0.6315,0.3265
2014136308,0,28,78,34,46,65,2,0.9706,1.9302,5.2064,0.4512,0.1616,0.0301,0.649,0.3371,0.2254,0.4541,0.3078,0.8349,0.6887,0.4938,0.2624,0.1998,0.1715,0.3191,1.806,2.3825,0.3597,0.1242,0.266,0.5794,0.3078
2014142124,1,0,35,7,46,2,4,0.9765,1.75,3.3998,0.4555,0.1767,0.0508,0.4827,0.3835,0.1896,0.4349,0.2834,0.7729,0.6336,0.4567,0.2409,0.1997,0.1588,0.3323,2.0426,2.099,0.3175,0.1237,0.2597,0.5429999999999999,0.2834
2014142218,1,51,68,28,28,76,5,1.0315,1.9396,3.7268,0.4385,0.172,0.0476,0.5647,0.3653,0.2,0.4692,0.3015,0.8463,0.6771,0.4769,0.2462,0.1216,0.1357,0.3416,2.5966,2.75,0.4,0.1269,0.2702,0.5715,0.3015
2014146216,1,56,15,26,6,17,1,1.1301,2.4133,3.478,0.4463,0.1721,0.0559,0.6474,0.3148,0.1804,0.4853,0.3332,0.8606,0.7129,0.4915,0.2457,0.2041,0.1598,0.322,2.2777,1.775,0.3276,0.1669,0.2869,0.6294,0.3332
2014146229,1,39,50,33,15,52,5,1.0204,1.9133,2.5053,0.449,0.1881,0.0766,0.5249,0.3806,0.1958,0.466,0.27699999999999997,0.8209,0.6814,0.4857,0.2614,0.2442,0.1301,0.3186,2.499,2.7176,0.3354,0.105,0.2378,0.495,0.27699999999999997
2014151109,1,37,16,13,50,23,4,1.0523,2.1345,3.0886,0.4314,0.1761,0.06,0.5385,0.342,0.175,0.4528,0.3157,0.8125,0.6625,0.4625,0.2375,0.2063,0.1285,0.3156,2.5847,1.9113,0.3127,0.1447,0.2634,0.5920000000000001,0.3157
2014151305,1,13,43,18,31,58,5,1.004,1.9442,3.3855,0.4487,0.1613,0.0478,0.5128,0.3847,0.1965,0.4573,0.2922,0.8226,0.6636,0.4674,0.243,0.2184,0.1298,0.3205,2.48,2.9091,0.3553,0.1032,0.2066,0.5081,0.2922
2014151310,1,22,58,25,38,49,2,0.9948,1.8924,2.3837,0.4771,0.1905,0.0795,0.5294,0.3841,0.2044,0.4624,0.2833,0.8404,0.6814,0.4771,0.2501,0.1665,0.1192,0.3416,2.8516,2.2515,0.3523,0.1356,0.2375,0.5311,0.2833
2014151318,1,47,22,21,47,37,1,1.2315,2.1222,3.1729,0.4308,0.17600000000000002,0.0683,0.6102,0.3928,0.1946,0.4561,0.2908,0.8187,0.6796,0.4717,0.25,0.1534,0.1134,0.3468,3.7666,3.5039999999999996,0.3478,0.1025,0.2908,0.5817,0.2908
2014151329,0,31,49,24,30,64,5,1.1225,2.2001,4.0029,0.4409,0.1637,0.0459,0.6286,0.3571,0.2,0.4741,0.3267,0.8636,0.7182,0.5001,0.2638,0.2048,0.1544,0.3204,2.3291,2.5321,0.3546,0.133,0.2757,0.6024,0.3267
2014155104,0,44,20,14,27,65,5,1.0589,2.0792,3.4376,0.4456,0.168,0.0518,0.5945,0.3458,0.1941,0.4584,0.315,0.8267,0.6825,0.4855,0.2559,0.1774,0.1252,0.3207,2.7119999999999997,2.2662,0.3529,0.1402,0.2621,0.5739,0.315
2014155123,1,49,51,36,47,25,2,1.0845,2.0335,3.0052,0.461,0.1876,0.0677,0.5728,0.3559,0.1879,0.445,0.3066,0.8274,0.6867,0.4841,0.2502,0.1519,0.138,0.3519,2.7649,2.3783,0.3437,0.1354,0.2883,0.5946,0.3066
2014155422,1,39,37,31,20,30,1,1.1447,2.2647,2.7902,0.4308,0.1783,0.0732,0.625,0.3477,0.1899,0.4432,0.3191,0.8101,0.6708,0.4685,0.2405,0.1724,0.1467,0.3378,2.6363,2.6527,0.3673,0.1312,0.2463,0.5803,0.3191
2014250010,0,29,37,24,20,42,5,0.9934,1.7839,3.0265,0.4807,0.1965,0.0645,0.5181,0.3743,0.1952,0.4386,0.2583,0.7796,0.6239,0.4293,0.2341,0.1725,0.11,0.3447,3.1131,1.5779,0.3516,0.1806,0.2583,0.5547,0.2583
2014250016,0,18,50,20,21,42,2,1.028,2.0841,3.7689999999999997,0.4229,0.1599,0.0436,0.5971,0.3427,0.1991,0.4558,0.3376,0.8314,0.6872,0.4981,0.2687,0.1884,0.1016,0.311,3.1451,2.0348,0.3532,0.1483,0.2558,0.5984,0.3376
2014250023,0,10,46,14,29,41,2,1.0475,1.9768,2.7337,0.4548,0.1741,0.0667,0.4847,0.3734,0.1728,0.4602,0.3012,0.8618,0.7125,0.5171,0.2645,0.2086,0.12300000000000001,0.3296,2.8063,2.0902,0.3226,0.133,0.2411,0.5549,0.3012
2014250035,1,87,2,-6,40,35,1,1.0924,2.2072,3.6667,0.4464,0.1692,0.0504,0.5714,0.3529,0.1846,0.4647,0.3193,0.8308,0.6768,0.4769,0.2466,0.158,0.149,0.33799999999999997,2.4783,2.3599,0.3541,0.1355,0.2526,0.5891,0.3193
2014250047,1,28,47,16,34,57,5,1.0994,2.0464,3.8567,0.4499,0.1758,0.0501,0.5149,0.4074,0.1908,0.4538,0.2838,0.8197,0.6623,0.4827,0.2469,0.2055,0.1363,0.3271,2.6379,3.2273,0.3481,0.0995,0.1978,0.4814,0.2838
2014250228,1,7,20,22,17,34,5,1.0366,1.8446,2.7907,0.4353,0.1674,0.0622,0.4839,0.37799999999999995,0.1765,0.4557,0.2805,0.7883,0.6353,0.4353,0.2238,0.2029,0.1415,0.3262,2.3890000000000002,3.0021,0.3882,0.1098,0.2561,0.5488,0.2805
2014250436,1,-10,94,63,7,106,5,1.0937,2.2422,3.7948,0.4369,0.1686,0.0486,0.7466,0.3183,0.2173,0.4718,0.3646,0.8481,0.6926,0.4966,0.2689,0.2128,0.1256,0.3158,2.7499,2.5108,0.3624,0.1264,0.3052,0.6685,0.3646
2014250528,1,-15,93,48,32,74,2,1.064,1.9694,3.1016,0.4796,0.1725,0.0592,0.5011,0.3792,0.1786,0.4387,0.3064,0.7949,0.6579999999999999,0.4659,0.2333,0.23,0.1292,0.3278,2.6994,2.5423,0.3708,0.132,0.2495,0.5555,0.3064
2014250618,1,34,81,47,20,69,2,1.0611,2.0787,3.2243,0.4181,0.1634,0.0538,0.4816,0.3584,0.1627,0.4433,0.3048,0.7993,0.6613,0.4616,0.237,0.1779,0.1459,0.3186,2.3167,2.1024,0.3121,0.1324,0.2519,0.5566,0.3048
2014250736,1,88,14,7,24,36,1,1.0709,1.9619,4.5,0.4339,0.1698,0.0404,0.6102,0.3642,0.2075,0.4376,0.303,0.7737,0.6414,0.4531,0.2264,0.2092,0.1374,0.322,2.5096,2.0,0.3396,0.1414,0.2634,0.5660000000000001,0.303
2014250902,1,23,22,27,38,62,5,1.0928,2.1381,3.1016,0.4349,0.1655,0.0583,0.561,0.3592,0.1844,0.4507,0.3019,0.8164,0.6713,0.4869,0.25,0.1862,0.14,0.3161,2.4676,2.447,0.3426,0.1292,0.2479,0.5486,0.3019
2014250923,1,11,36,46,6,47,5,1.1758,2.208,3.4078,0.4213,0.1637,0.0565,0.65,0.3667,0.2027,0.4447,0.3484,0.8115,0.6552,0.4525,0.2344,0.1729,0.0961,0.3372,4.1248,2.8382,0.3123,0.11,0.2757,0.6237,0.3484
2014250929,1,27,15,7,56,16,4,1.0812,1.9062,2.4545,0.4667,0.1841,0.0811,0.4995,0.3968,0.1833,0.4631,0.2709,0.8166,0.6666,0.4666,0.2339,0.1837,0.1081,0.3337,3.3375,2.6667,0.3166,0.1081,0.2888,0.5777,0.2709
2014250943,1,29,34,14,59,71,5,1.0256,1.9991,4.02,0.45,0.1675,0.0427,0.6492,0.3423,0.2166,0.4279,0.3076,0.7667,0.6166,0.4336,0.2339,0.204,0.1288,0.3252,2.5895,2.0,0.3666,0.1538,0.2393,0.564,0.3076
2015012105,1,-3,30,33,21,48,5,0.9875,2.0683,3.0008,0.4279,0.1808,0.0595,0.5238,0.332,0.1761,0.4303,0.2532,0.7292,0.5777,0.4018,0.2165,0.1748,0.1274,0.3421,2.6525,1.3211,0.3522,0.2212,0.22899999999999998,0.6082,0.2532
2015012106,1,27,25,13,1,24,1,1.0059,1.925,3.1493,0.4126,0.1574,0.0503,0.4331,0.3773,0.1624,0.4523,0.2902,0.8001,0.6624,0.4624,0.2378,0.2264,0.1653,0.3002,1.8263,2.5031,0.2874,0.1006,0.2266,0.5167,0.2902
2015012121,1,44,25,25,31,47,5,1.1062,2.0951,2.8119,0.4554,0.1771,0.0697,0.516,0.3654,0.1704,0.4411,0.2768,0.7728,0.625,0.4319,0.2275,0.2056,0.1344,0.3312,2.7271,1.8205,0.2957,0.1383,0.2514,0.5406,0.2768
2015012129,1,63,16,30,48,77,5,1.1766,2.0704,4.02,0.4334,0.1675,0.049,0.5493,0.3926,0.1833,0.4399,0.3143,0.7667,0.6499,0.4502,0.2505,0.18,0.1185,0.3416,3.3933,2.5,0.3166,0.1176,0.2549,0.5494,0.3143
2015012201,0,55,51,49,20,29,1,1.0378,1.9287,2.8548,0.4288,0.161,0.0585,0.5813,0.3516,0.19699999999999998,0.4518,0.2967,0.8032,0.66,0.4636,0.2496,0.179,0.1239,0.3311,2.7723,2.6719,0.3566,0.111,0.2597,0.5564,0.2967
2015012313,1,4,25,37,18,36,3,1.0406,1.9326,3.3518,0.4714,0.1713,0.0532,0.5934,0.3789,0.2161,0.4665,0.2957,0.8291,0.6702,0.4658,0.2501,0.2499,0.1442,0.3087,2.2272,3.1,0.375,0.107,0.2603,0.5448,0.2957
2015012319,1,22,21,29,49,69,5,1.0663,2.0726,3.3437,0.4601,0.1758,0.0561,0.5937,0.3462,0.1928,0.4612,0.3178,0.8327,0.6924,0.4908,0.2543,0.163,0.1508,0.3439,2.4317,2.6154,0.3594,0.1215,0.2898,0.6074,0.3178
2015013108,1,-35,21,11,39,71,5,0.9803,1.9455,3.0104,0.4362,0.1693,0.0551,0.4612,0.3587,0.1687,0.45799999999999996,0.276,0.802,0.647,0.4502,0.2395,0.2005,0.1137,0.3147,2.7131,1.3667,0.2816,0.1516,0.2481,0.5653,0.276
2015013112,1,40,13,-1,45,45,4,1.0544,2.1289,3.0949,0.4265,0.162,0.0552,0.5235,0.3565,0.177,0.4348,0.3255,0.7796,0.6181,0.442,0.221,0.2,0.1505,0.3256,2.2811,3.1710000000000003,0.3384,0.09300000000000001,0.2175,0.5582,0.3255
2015013114,1,13,52,29,48,70,5,0.9931,1.8415,2.9102,0.4934,0.1844,0.0629,0.5778,0.3639,0.2117,0.4526,0.294,0.8168,0.6619,0.4788,0.2394,0.2004,0.1463,0.3429,2.3275,2.0929,0.3813,0.1538,0.2797,0.5876,0.294
2015013123,1,4,13,23,35,69,5,1.1249,2.0555,3.1493,0.4689,0.1699,0.0607,0.541,0.3717,0.1788,0.4482,0.2713,0.8124,0.6695,0.4731,0.25,0.1742,0.1511,0.3416,2.5441,2.5833,0.3303,0.1205,0.2713,0.5527,0.2713
2015013124,1,36,76,34,0,81,5,1.3181,2.5301,2.7067,0.4253,0.1739,0.0847,0.5995,0.379,0.1724,0.4501,0.3347,0.8161,0.6552,0.4599,0.2299,0.1549,0.1157,0.3453,3.9319,3.8571,0.3563,0.106,0.258,0.5926,0.3347
2015013204,1,46,12,38,19,27,1,1.1054,2.1083,3.81,0.4222,0.16399999999999998,0.0476,0.5256,0.3621,0.1722,0.4492,0.3045,0.81,0.6545,0.4649,0.2411,0.2,0.1454,0.313,2.3795,5.6765,0.36200000000000004,0.0571,0.2861,0.5904,0.3045
2015013208,1,57,67,29,35,29,2,1.1543,2.0867,3.0033,0.4307,0.1725,0.0663,0.5499,0.3756,0.1789,0.4369,0.2632,0.7559,0.6095,0.4225,0.2193,0.2142,0.1135,0.3136,3.1896,1.9347,0.3007,0.1503,0.2534,0.5259,0.2632
2015013217,0,42,81,34,37,74,2,1.0057,2.0262,2.8276,0.4493,0.1669,0.0594,0.6534,0.335,0.2177,0.47600000000000003,0.3615,0.8843,0.7559,0.5512,0.3076,0.1878,0.1503,0.3364,2.2506,2.74,0.3331,0.1038,0.2716,0.633,0.3615
2015013304,0,-23,46,20,30,77,5,1.0462,1.9489,3.0929,0.4495,0.1781,0.0602,0.6166,0.3443,0.2029,0.4308,0.3189,0.7722,0.633,0.4432,0.2408,0.1846,0.1365,0.3376,2.5866,2.3,0.3546,0.1324,0.2781,0.5965,0.3189
2015013401,1,-3,35,8,37,43,5,1.1052,2.0242,2.9839,0.4164,0.1689,0.0626,0.4998,0.3928,0.1776,0.4497,0.2822,0.8109999999999999,0.6664,0.4556,0.2334,0.124,0.1311,0.3591,3.0263,2.1667,0.3443,0.1472,0.2454,0.5398,0.2822
2015013404,1,25,5,35,9,-4,3,1.0359,2.0,2.98,0.4259,0.161,0.055999999999999994,0.4812,0.3724,0.1729,0.4516,0.2756,0.7992,0.6531,0.4531,0.2398,0.1999,0.1541,0.324,2.178,2.718,0.3063,0.0965,0.2209,0.4963,0.2756
2015013422,1,46,72,39,43,61,2,0.9475,2.0003,2.5873,0.4355,0.1677,0.0614,0.5,0.3158,0.1666,0.4725,0.3333,0.872,0.7415,0.5373,0.2783,0.1448,0.1664,0.3357,1.9113,1.8571,0.2962,0.1228,0.2637,0.6143,0.3333
2015014110,0,19,50,32,40,73,5,0.9492,1.8771,3.0439,0.4602,0.1845,0.0575,0.6068,0.3497,0.2235,0.44799999999999995,0.313,0.8168,0.6709999999999999,0.474,0.2502,0.2343,0.1444,0.32899999999999996,2.1626,3.717,0.3946,0.0874,0.2371,0.5497,0.313
2015014111,1,56,34,49,35,60,5,1.0377,2.0176,2.8171,0.4773,0.1801,0.0663,0.5005,0.3773,0.182,0.4687,0.2829,0.8365,0.6727,0.4638,0.2365,0.2041,0.1042,0.3369,3.3559,2.5847,0.3364,0.1132,0.2359,0.5187,0.2829
2015014117,1,22,50,19,35,62,5,1.0362,2.1202,3.1298,0.4648,0.1763,0.0584,0.5652,0.3357,0.1831,0.4579,0.3211,0.8311,0.6903,0.4791,0.268,0.1897,0.1647,0.3322,2.0902,2.75,0.3662,0.1168,0.2485,0.5692,0.3211
2015015116,1,30,87,31,38,51,2,1.0963,2.0841,3.2055,0.4664,0.1733,0.0593,0.5596,0.3652,0.1864,0.4494,0.2919,0.8123,0.679,0.4793,0.2397,0.2348,0.1576,0.32799999999999996,2.2811,2.4295,0.3597,0.1322,0.2486,0.5401,0.2919
2015015118,1,63,64,44,17,45,2,1.1169,2.3191,3.0152,0.4391,0.1699,0.0629,0.6269,0.3158,0.1772,0.4611,0.369,0.8379,0.7086,0.4992,0.2661,0.1616,0.1262,0.3387,2.9984,2.4947,0.3384,0.1262,0.2882,0.6571,0.369
2015015208,1,27,29,28,30,73,5,1.055,2.0179,3.8571,0.4522,0.171,0.0468,0.561,0.3761,0.2,0.45399999999999996,0.3029,0.8174,0.6783,0.4957,0.2609,0.1831,0.1252,0.3312,2.7902,2.5,0.3565,0.1284,0.2385,0.5505,0.3029
2015015214,1,68,15,5,33,14,1,1.068,2.0287,3.122,0.4286,0.1597,0.0546,0.4783,0.3508,0.1571,0.4464,0.2914,0.7998,0.657,0.457,0.2289,0.2219,0.1163,0.3008,2.7628,1.8806,0.3012,0.1381,0.2597,0.5509,0.2914
2015016106,1,50,49,30,18,41,1,1.0447,1.9443,2.9024,0.4328,0.1761,0.0634,0.4908,0.3926,0.1845,0.44799999999999995,0.2445,0.78,0.6239,0.4395,0.2339,0.2103,0.1079,0.3195,3.0943,1.9979,0.3687,0.1631,0.2149,0.5113,0.2445
2015016111,1,70,12,21,52,13,1,1.1227,2.1085,2.827,0.4418,0.1685,0.0669,0.5781,0.3556,0.1831,0.4439,0.2809,0.8018,0.6345,0.4341,0.217,0.2243,0.0748,0.3171,4.7625,1.7545,0.2835,0.1495,0.2616,0.561,0.2809
2015016207,0,0,29,0,29,58,5,0.9562,2.1495,3.002,0.4138,0.1617,0.0515,0.5702,0.3419,0.2038,0.469,0.3361,0.8302,0.6689,0.4768,0.2653,0.1595,0.1601,0.3396,2.0282,1.5743,0.3422,0.1729,0.2061,0.6007,0.3361
2015016310,1,44,52,17,37,29,2,1.1282,2.1662,3.2102,0.4302,0.1648,0.0579,0.4996,0.3711,0.1643,0.4464,0.3009,0.7965,0.6575,0.4551,0.2402,0.2102,0.0933,0.3104,3.7535,2.625,0.3037,0.1141,0.2286,0.5294,0.3009
2015016411,1,8,27,19,19,42,5,1.067,2.0666,4.01,0.4356,0.1615,0.043,0.5493,0.3442,0.1772,0.4284,0.3113,0.7579,0.6124,0.4514,0.2261,0.2357,0.1233,0.3163,2.7365,2.0039,0.3065,0.1375,0.2413,0.5696,0.3113
2015016412,0,28,43,14,24,36,2,1.1324,1.9565,3.3894,0.415,0.1663,0.0556,0.5312,0.3855,0.1809,0.4454,0.2894,0.7982,0.649,0.4576,0.2343,0.1644,0.1339,0.326,2.7578,3.8598,0.33,0.0843,0.253,0.5423,0.2894
2015017106,1,59,75,25,24,92,5,1.0979999999999999,2.0002,3.2691,0.4247,0.1791,0.0601,0.5433,0.3609,0.1785,0.4649,0.3158,0.8491,0.6985,0.4932,0.2602,0.2006,0.1167,0.3294,3.0982,2.5031,0.3289,0.1203,0.3007,0.6165,0.3158
2015017123,1,38,15,20,34,61,5,1.1429,2.0528,2.3321,0.4376,0.1761,0.0863,0.5552,0.386,0.1875,0.4341,0.2861,0.7874,0.6375,0.4625,0.2375,0.1562,0.1191,0.3386,3.2502,1.7273,0.2875,0.1571,0.2718,0.5857,0.2861
2015017125,1,36,43,13,54,23,4,1.1244,2.2564,3.1111,0.4504,0.1725,0.0623,0.6258,0.3328,0.1852,0.4536,0.3199,0.8136,0.6782,0.4807,0.2588,0.1498,0.1785,0.3663,2.3074,2.2907,0.3459,0.1392,0.3061,0.6398,0.3199
2015017210,0,6,36,24,18,51,5,1.0364,1.9731,3.44,0.4427,0.1702,0.0513,0.4798,0.38299999999999995,0.1773,0.4691,0.2829,0.8533,0.708,0.4979,0.2734,0.1994,0.1352,0.3243,2.4865,2.1287,0.3215,0.1331,0.2335,0.5327,0.2829
2015022103,0,40,49,23,15,15,2,1.0716,2.0868,3.2243,0.4537,0.1718,0.0571,0.5828,0.3385,0.1841,0.4608,0.3105,0.8421,0.7114,0.5,0.2767,0.1618,0.1547,0.3447,2.3872,2.5031,0.3151,0.1125,0.2811,0.591,0.3105
2015022301,0,26,54,34,16,25,2,0.9916,1.963,2.5873,0.4634,0.1645,0.0631,0.6,0.3603,0.218,0.4756,0.2883,0.8542,0.6905,0.4909,0.2725,0.1737,0.1323,0.3532,2.6474,2.6719,0.3634,0.1081,0.2529,0.5588,0.2883
2015022406,0,66,-2,26,40,25,1,1.1132,2.1004,3.073,0.4643,0.1668,0.0604,0.6662,0.3578,0.2141,0.4466,0.3049,0.8212,0.6901,0.4879,0.262,0.1944,0.136,0.3223,2.639,2.502,0.3452,0.1324,0.2652,0.5695,0.3049
2015022425,0,54,58,34,47,19,2,1.1135,1.9499,4.0745,0.4569,0.1807,0.0494,0.5708,0.3998,0.2049,0.4556,0.2772,0.7964,0.634,0.4454,0.2393,0.133,0.1399,0.3639,2.8964,2.531,0.3416,0.124,0.2567,0.5142,0.2772
2015022429,0,48,-5,-22,20,35,1,1.0279,2.0185,3.6857,0.4735,0.1855,0.0517,0.6207,0.3428,0.207,0.45899999999999996,0.3336,0.846,0.7020000000000001,0.504,0.2701,0.1958,0.1486,0.3385,2.3413,2.1374,0.3241,0.1298,0.2683,0.602,0.3336
2015023204,0,24,60,41,29,53,2,1.0167,1.9759,4.3397,0.4157,0.146,0.0342,0.5332,0.3427,0.1797,0.4608,0.3436,0.8303,0.6842,0.4826,0.2581,0.1941,0.1195,0.311,2.6462,2.1898,0.3371,0.1259,0.2518,0.5954,0.3436
2015023211,0,25,51,37,27,49,2,1.1426,2.0717,3.2858,0.4503,0.1687,0.0587,0.6338,0.3618,0.2007,0.4317,0.2673,0.7833,0.6333,0.4333,0.2333,0.2093,0.1158,0.3167,3.1236,2.7996,0.3337,0.1158,0.2666,0.5336,0.2673
2015023222,0,93,39,20,26,16,1,1.0636,2.1158,2.987,0.4241,0.1639,0.0584,0.5341,0.34700000000000003,0.1743,0.4512,0.3239,0.8046,0.6634,0.4679,0.2502,0.1975,0.1307,0.3102,2.5245,2.0017,0.3154,0.1387,0.2661,0.59,0.3239
2015023301,0,30,53,25,68,68,4,0.9405,1.8233,3.3369,0.4421,0.1791,0.0505,0.5278,0.3564,0.2,0.4541,0.3268,0.8318,0.6948,0.4948,0.2632,0.1538,0.1729,0.3552,1.932,1.9231,0.3263,0.1287,0.2779,0.6139,0.3268
2015023404,0,-30,37,33,22,81,5,0.9766,1.8938,3.21,0.408,0.1562,0.0475,0.568,0.3438,0.2,0.4646,0.3437,0.8403,0.6884,0.4963,0.2721,0.1959,0.1121,0.3136,2.7318,2.0553,0.344,0.133,0.2814,0.6329,0.3437
2015023405,0,55,7,20,82,35,4,1.0162,1.8984,3.7136,0.4575,0.1605,0.0439,0.6471,0.3675,0.23399999999999999,0.4493,0.2921,0.7879,0.6493,0.4579,0.2343,0.1977,0.138,0.32799999999999996,2.416,2.3333,0.3617,0.1297,0.2381,0.5409,0.2921
2015023509,0,15,0,12,48,49,5,1.1406,2.3102,4.1984,0.4489,0.1689,0.0459,0.6265,0.3585,0.1969,0.4526,0.3458,0.8218,0.6816,0.48100000000000004,0.2538,0.2119,0.14,0.3246,2.6445,2.6538,0.3522,0.1253,0.22899999999999998,0.5747,0.3458
2015023609,0,-27,53,19,45,82,5,1.1374,2.0896,3.3964,0.4458,0.1721,0.0576,0.5645,0.3697,0.1835,0.4504,0.2845,0.8001,0.6585,0.4669,0.2583,0.1717,0.1387,0.3417,2.8015,2.0625,0.3333,0.1516,0.2559,0.5497,0.2845
2015024109,0,42,29,13,49,59,5,1.0633,2.0634,5.25,0.4256,0.1567,0.0317,0.5909,0.3491,0.19399999999999998,0.4556,0.3174,0.8213,0.6717,0.4778,0.2686,0.1581,0.1063,0.3217,3.2186,2.1111,0.3283,0.1428,0.2861,0.6189,0.3174
2015024110,0,6,44,13,45,57,5,1.0293,1.838,2.5134,0.4717,0.1787,0.0732,0.5769,0.3768,0.2112,0.4421,0.2902,0.7743,0.6336,0.4505,0.2393,0.1967,0.1398,0.3457,2.5453,2.5,0.4083,0.1449,0.2319,0.5509,0.2902
2015024117,1,60,-3,33,36,52,1,1.1988,2.3922,3.48,0.4317,0.1701,0.0586,0.5920000000000001,0.373,0.1842,0.4604,0.3481,0.8233,0.6685,0.4647,0.2422,0.1325,0.1355,0.3508,3.1049,2.5055,0.3393,0.1393,0.2332,0.6039,0.3481
2015024128,1,57,-19,49,38,81,5,0.9359999999999999,1.8234,3.2643,0.4688,0.1725,0.0494,0.522,0.361,0.2013,0.4563,0.3115,0.7975,0.6393,0.4468,0.2363,0.1732,0.1246,0.3378,2.5381,2.0669999999999997,0.3515,0.1312,0.2461,0.5575,0.3115
2015024202,0,49,15,23,22,48,1,0.905,1.7527,2.7803,0.4408,0.1665,0.0542,0.5622,0.3403,0.2114,0.4461,0.2878,0.8104,0.6813,0.4934,0.2821,0.2146,0.1505,0.3234,1.9449,1.4979,0.3173,0.1492,0.2657,0.5637,0.2878
2015024207,1,40,30,24,32,41,5,1.0651,1.9543,3.3480000000000003,0.462,0.1735,0.0552,0.5362,0.3867,0.1947,0.4633,0.2882,0.8117,0.6368,0.4356,0.2277,0.1707,0.126,0.3532,2.9857,2.6639,0.3764,0.1267,0.239,0.5237,0.2882
2015025128,1,-48,74,12,31,98,5,1.1152,2.0687,3.2333,0.4299,0.1625,0.0561,0.5352,0.3964,0.1903,0.4648,0.2765,0.8351,0.6781,0.4714,0.2481,0.1752,0.141,0.3323,2.6286,2.1476,0.3062,0.129,0.2304,0.5161,0.2765
2015031103,0,10,72,45,28,66,2,1.0432,2.1251,3.4645,0.4471,0.1655,0.0498,0.5926,0.3313,0.1882,0.4647,0.3313,0.8351,0.6823,0.4941,0.259,0.1823,0.1399,0.3197,2.3836,1.75,0.294,0.1472,0.2577,0.589,0.3313
